ID,Region_name,Region_class
10,Московская область,1A
18,Москва,1A
29,Санкт-Петербург,1A
32,Краснодарский край,1A
1,Белгородская область,2A
35,Ростовская область,2A
43,Республика Башкортостан,2A
46,Республика Татарстан,2A
51,Нижегородская область,2A
54,Самарская область,2A
3,Владимирская область,2A
4,Воронежская область,2A
6,Калужская область,2A
8,Курская область,2A
9,Липецкая область,2A
12,Рязанская область,2A
14,Тамбовская область,2A
16,Тульская область,2A
25,Ленинградская область,2A
53,Пензенская область,2A
59,Тюменская область,2A
58,Свердловская область,2A
49,Пермский край,2B
60,Ханты-Мансийский АО,2B
62,Челябинская область,2B
69,Красноярский край,2B
70,Иркутская область,2B
71,Кемеровская область,2B
72,Новосибирская область,2B
2,Брянская область,3B1
5,Ивановская область,3B1
13,Смоленская область,3B1
15,Тверская область,3B1
17,Ярославская область,3B1
20,Республика Коми,3B1
21,Архангельская область,3B1
23,Вологодская область,3B1
24,Калининградская область,3B1
26,Мурманская область,3B1
33,Астраханская область,3B1
34,Волгоградская область,3B1
42,Ставропольский край,3B1
47,Удмуртская Республика,3B1
48,Чувашская Республика,3B1
50,Кировская область,3B1
52,Оренбургская область,3B1
55,Саратовская область,3B1
56,Ульяновская область,3B1
61,Ямало-Ненецкий АО,3B1
64,Республика Бурятия,3B1
67,Алтайский край,3B1
73,Омская область,3B1
74,Томская область,3B1
75,Республика Саха Якутия,3B1
77,Приморский край,3B1
78,Хабаровский край,3B1
81,Сахалинская область,3B1
84,Республика Крым,3B1
7,Костромская область,3B2
11,Орловская область,3B2
22,Ненецкий АО,3B2
27,Новгородская область,3B2
28,Псковская область,3B2
30,Республика Адыгея,3B2
44,Республика Марий Эл,3B2
45,Республика Мордовия,3B2
57,Курганская область,3B2
66,Республика Хакасия,3B2
79,Амурская область,3B2
80,Магаданская область,3B2
85,Севастополь,3B2
19,Республика Карелия,3C1
36,Республика Дагестан,3C1
68,Забайкальский край,3C1
31,Республика Калмыкия,3C2
38,Кабардино-Балкарская Республика,3C2
39,Карачаево-Черкесская Республика,3C2
40,Республика Северная Осетия - Алания,3C2
41,Чеченская Республика,3C2
63,Республика Алтай,3C2
76,Камчатский край,3C2
82,Еврейская авт.область,3C2
83,Чукотский авт.округ,3C2
37,Республика Ингушетия,3D
65,Республика Тыва,3D
